"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
STDH7213-B1,"Máy khoan động lực STDH7213-B1",,1.0000,
STkhaycole,"KHAY CỜ LÊ",,3.0000,
STkhaydo,"Khay Đồ",,1.0000,
STkhaydungcudidong,"KHAY DỤNG CỤ DI ĐỘNG",,11.0000,
STkhaymaykhoan,"KHAY MÁY KHOAN",,4.0000,
STkhayongtuyp,"KHAY ỐNG TUÝP",,2.0000,
STkhaytuavit,"KHAY TUA NƠ VÍT",,2.0000,
STminiA003000,"XE ĐẨY DỤNG CỤ 3 KHAY MINI - TC3.A00.30.00",,4.0000,
STtamchot,"TẤM CHỐT 800MM*400MM",,1.0000,
STtamtreo,"Tấm treo (kèm theo xe-2 tấm + 2 thanh treo)",,3.0000,
STxegabau,"XE GÁ BẦU xegabau",,1.0000,
TAC100303,"Mũi khoan sắt (3mm) Total",,8.0000,
TAC100403,"Mũi khoan sắt (4mm) Total",,17.0000,
TAC100453,"Mũi khoan sắt (4.5mm) Total",,9.0000,
TAC100503,"Mũi khoan sắt (5mm) Total",,9.0000,
TAC100553,"Mũi khoan sắt (5.5mm) Total",,8.0000,
TAC100603,"Mũi khoan sắt (6mm) Total",,6.0000,
TAC100653,"Mũi khoan sắt (6.5mm) Total",,9.0000,
TAC100753,"Mũi khoan sắt (7.5mm) Total",,10.0000,
TAC100803,"Mũi khoan sắt (8mm) Total",,15.0000,
TAC100853,"Mũi khoan sắt (8.5mm) Total",,10.0000,
TAC100903,"Mũi khoan sắt (9mm) Total",,10.0000,
TAC100953,"Mũi khoan sắt (9.5mm) Total",,9.0000,
TAC101003,"Mũi khoan sắt (10mm) Total",,7.0000,
TAC101053,"Mũi khoan sắt (10.5mm) Total",,9.0000,
TAC101103,"Mũi khoan sắt (11mm) Total",,6.0000,
TAC101153,"Mũi khoan sắt (11.5mm) Total",,10.0000,
TAC101203,"Mũi khoan sắt (12mm) Total",,8.0000,
TAC110301,"Mũi khoan sắt M2 (3mm) Total",,20.0000,
TAC110351,"Mũi khoan sắt M2 (3.5mm) Total",,5.0000,
TAC110401,"Mũi khoan sắt M2 (4mm) Total",,15.0000,
TAC110451,"Mũi khoan sắt M2 (4.5mm) Total",,10.0000,
TAC110501,"Mũi khoan sắt M2 (5mm) Total",,19.0000,
TAC110551,"Mũi khoan sắt M2 (5.5mm) Total",,5.0000,
TAC110601,"Mũi khoan sắt M2 (6mm) Total",,6.0000,
TAC110651,"Mũi khoan sắt M2 (6.5mm) Total",,5.0000,
TAC110701,"Mũi khoan sắt M2 (7mm) Total",,9.0000,
TAC110751,"Mũi khoan sắt M2 (7.5mm) Total",,8.0000,
TAC110801,"Mũi khoan sắt M2 (8mm) Total",,12.0000,
TAC110851,"Mũi khoan sắt M2 (8.5mm) Total",,9.0000,
TAC110901,"Mũi khoan sắt M2 (9mm) Total",,9.0000,
TAC110951,"Mũi khoan sắt M2 (9.5mm) Total",,10.0000,
TAC111001,"Mũi khoan sắt M2 (10mm) Total",,8.0000,
TAC111051,"Mũi khoan sắt M2 (10.5mm) Total",,10.0000,
TAC111101,"Mũi khoan sắt M2 (11mm) Total",,9.0000,
TAC111151,"Mũi khoan sắt M2 (11.5mm) Total",,10.0000,
TAC111201,"Mũi khoan sắt M2 (12mm) Total",,7.0000,
TAC131001,"Mũi khoan gỗ (10mm) Total",,10.0000,
TAC131201,"Mũi khoan gỗ (12mm) Total",,10.0000,
TAC131401,"Mũi khoan gỗ (14mm) Total",,10.0000,
TAC131601,"Mũi khoan gỗ (16mm) Total",,9.0000,
TAC1521182,"Mũi đuôi nhọn 5 khía 18X400mm Total",,3.0000,
TAC1531301,"Mũi đục nhọn đuôi lục giác Total 30x410mmq",,2.0000,
TAC153171,"Mũi đục nhọn đuôi lục giác Total 17x280mm",,2.0000,
TAC153172,"Mũi đục dẹp đuôi lục giác Total 17x280x22mm",,1.0000,
TAC1532301,"Mũi đục dẹp đuôi lục giác Total 30x410x40mm",,3.0000,
TAC160601,"Mũi khoan gỗ đầu dẹp (6mm) Total",,8.0000,
TAC160801,"Mũi khoan gỗ đầu dẹp (8mm) Total",,7.0000,
TAC161201,"Mũi khoan gỗ đầu dẹp (12mm) Total",,5.0000,
TAC161601,"Mũi khoan gỗ đầu dẹp (16mm) Total",,13.0000,
TAC161801,"Mũi khoan gỗ đầu dẹp (18mm) Total",,14.0000,
TAC162001,"Mũi khoan gỗ đầu dẹp (20mm) Total",,6.0000,
TAC162501,"Mũi khoan gỗ đầu dẹp (25mm) Total",,8.0000,
TAC162801,"Mũi khoan gỗ đầu dẹp (28mm) Total",,4.0000,
TAC163001,"Mũi khoan gỗ đầu dẹp (30mm) Total",,5.0000,
TAC163201,"Mũi khoan gỗ đầu dẹp (32mm) Total",,4.0000,
TAC16PH203IM,"Bộ mũi siết vít vĩ nhựa Total",,5.0000,
TAC16PH213,"Mũi bắt vít vĩ nhựa Total",,3.0000,
TAC16PH223,"Mũi bắt vít vĩ nhựa Total",,2.0000,
TAC16PH233,"Mũi bắt vít vĩ nhựa Total",,2.0000,
TAC16PH233IM,"Bộ mũi siết vít vĩ nhựa Total",,6.0000,
TAC16PH253,"Mũi siết vít vĩ nhựa Total",,3.0000,
TAC16PH253IM,"Bộ mũi siết vít vĩ nhựa Total",,6.0000,
TAC16PH273IM,"Bộ mũi siết vít vĩ nhựa Total",,7.0000,
TAC16PZ213,"Mũi bắt vít vĩ nhựa Total",,4.0000,
TAC16PZ223,"Mũi bắt vít vĩ nhựa Total",,3.0000,
TAC16SL413,"Mũi bắt vít vĩ nhựa Total",,5.0000,
TAC16SL423,"Mũi bắt vít vĩ nhựa Total",,5.0000,
TAC180351,"Mũi khoan khoét gỗ 35mm Total",,2.0000,
TAC190501,"Bộ 5 mũi khoan bê tông đuôi gài Total",,10.0000,
TAC210601,"Mũi khoan bê tông trơn (6x100) Total",,7.0000,
TAC210602,"Mũi khoan bê tông trơn (6x150) Total",,5.0000,
TAC210801,"Mũi khoan bê tông trơn (8x120) Total",,3.0000,
TAC210802,"Mũi khoan bê tông trơn (8x150) Total",,4.0000,
TAC210803,"Mũi khoan bê tông trơn (8x200) Total",,3.0000,
TAC211001,"Mũi khoan bê tông trơn (10x120) Total",,3.0000,
TAC211002,"Mũi khoan bê tông trơn (10x150) Total",,14.0000,
TAC211003,"Mũi khoan bê tông trơn (10x200) Total",,2.0000,
TAC2111161,"Đĩa cắt đá khô (115X20mm) Total",,16.0000,
TAC211201,"Mũi khoan bê tông trơn (12x150) Total",,10.0000,
TAC211202,"Mũi khoan bê tông trơn (12x200) Total",,7.0000,
TAC211401,"Mũi khoan bê tông trơn đuôi 13 (14x150)Total",,10.0000,
TAC211402,"Mũi khoan bê tông trơn đuôi 13 (14x200) Total",,9.0000,
TAC211601,"Mũi khoan bê tông trơn đuôi 13 (16x150) Total",,10.0000,
TAC211602,"Mũi khoan bê tông trơn đuôi 13 (16x200) Total",,8.0000,
TAC2131151HT,"Đĩa cắt gạch siêu mỏng (115-4"") Total",,3.0000,
TAC270831,"Bộ mũi từ bắn tôn Total",,6.0000,
TAC270832,"Bộ mũi bắn vít tol có nam châm hút Total",,4.0000,
TAC310601C,"Mũi khoan bt gài 4 cạnh (6x110) Total",,7.0000,
TAC310602,"Mũi khoan bt gài (6x160) Total",,7.0000,
TAC310603,"Mũi khoan bt gài (6x210) Total",,8.0000,
TAC310603C,"Mũi khoan bt gài 4 cạnh (6x210) Total",,9.0000,
TAC310604,"Mũi khoan bt gài (6x260) Total",,8.0000,
TAC310604C,"Mũi khoan bt gài 4 cạnh (6x260) Total",,10.0000,
TAC310605C,"Mũi khoan bt gài 4 cạnh (6x310) Total",,7.0000,
TAC310801,"Mũi khoan bt gài (8x110) Total",,8.0000,
TAC310801C,"Mũi khoan bt gài 4 cạnh (8x110) Total",,5.0000,
TAC310802,"Mũi khoan bt gài (8x160) Total",,4.0000,
TAC310802C,"Mũi khoan bt gài 4 cạnh (8x160) Total",,5.0000,
TAC310803,"Mũi khoan bt gài (8x210) Total",,8.0000,
TAC310803C,"Mũi khoan bt gài 4 cạnh (8x210) Total",,10.0000,
TAC310804,"Mũi khoan bt gài (8x260) Total",,7.0000,
TAC310804C,"Mũi khoan bt gài 4 cạnh (8x260) Total",,8.0000,
TAC310805C,"Mũi khoan bt gài 4 cạnh (8x310) Total",,8.0000,
TAC311001,"Mũi khoan bt gài (10x110) Total",,7.0000,
TAC311001C,"Mũi khoan bt gài 4 cạnh (10x110) Total",,8.0000,
TAC311002,"Mũi khoan bt gài (10x160) Total",,4.0000,
TAC311002C,"Mũi khoan bt gài 4 cạnh (10x160) Total",,1.0000,
TAC311003,"Mũi khoan bt gài (10x210) Total",,3.0000,
TAC311003C,"Mũi khoan bt gài 4 cạnh (10x210) Total",,5.0000,
TAC311004,"Mũi khoan bt gài (10x260) Total",,13.0000,
TAC311201,"Mũi khoan bt gài (12x210) Total",,9.0000,
TAC311201C,"Mũi khoan bt gài 4 cạnh (12x210) Total",,7.0000,
TAC311202,"Mũi khoan bt gài (12x160) Total",,4.0000,
TAC311203,"Mũi khoan bt gài (12x260) Total",,7.0000,
TAC311203C,"Mũi khoan bt gài 4 cạnh (12x260) Total",,9.0000,
TAC311204,"Mũi khoan bt gài (12x310) Total",,5.0000,
TAC311204C,"Mũi khoan bt gài 4 cạnh (12x310) Total",,9.0000,
TAC311401,"Mũi khoan bt gài (14x210) Total",,9.0000,
TAC311401C,"Mũi khoan bt gài 4 cạnh (14x210) Total",,8.0000,
TAC311402,"Mũi khoan bt gài (14x160) Total",,6.0000,
TAC311402C,"Mũi khoan bt gài 4 cạnh (14x160) Total",,10.0000,
TAC311403,"Mũi khoan bt gài (14x260) Total",,3.0000,
TAC311403C,"Mũi khoan bt gài 4 cạnh (14x260) Total",,3.0000,
TAC311404,"Mũi khoan bt gài (14x310) Total",,17.0000,
TAC311404C,"Mũi khoan bt gài 4 cạnh (14x310) Total",,9.0000,
TAC311601,"Mũi khoan bt gài (16x160) Total",,10.0000,
TAC311601C,"Mũi khoan bt gài 4 cạnh (16x160) Total",,8.0000,
TAC311602C,"Mũi khoan bt gài 4 cạnh (16x210) Total",,9.0000,
TAC311603,"Mũi khoan bt gài (16x260) Total",,8.0000,
TAC311603C,"Mũi khoan bt gài 4 cạnh (16x260) Total",,9.0000,
TAC311604,"Mũi khoan bt gài (16x310) Total",,10.0000,
TAC311604C,"Mũi khoan bt gài 4 cạnh (16x310) Total",,10.0000,
TAC311801C,"Mũi khoan bt gài 4 cạnh (18x260) Total",,9.0000,
TAC311802,"Mũi khoan bt gài (18x210) Total",,9.0000,
TAC311802C,"Mũi khoan bt gài 4 cạnh (18x210) Total",,10.0000,
TAC311803,"Mũi khoan bt gài (18x310) Total",,8.0000,
TAC311803C,"Mũi khoan bt gài 4 cạnh (18x310) Total",,9.0000,
TAC312001C,"Mũi khoan bt gài 4 cạnh (20x260) Total",,7.0000,
TAC312002,"Mũi khoan bt gài (20x210) Total",,9.0000,
TAC312002C,"Mũi khoan bt gài 4 cạnh (20x210) Total",,9.0000,
TAC312003,"Mũi khoan bt gài (20x310) Total",,7.0000,
TAC312202C,"Mũi khoan bt gài 4 cạnh (22x210) Total",,10.0000,
TAC312203,"Mũi khoan bt gài (22x260) Total",,17.0000,
TAC312203C,"Mũi khoan bt gài 4 cạnh (22x260) Total",,8.0000,
TAC312204,"Mũi khoan bt gài (22x310) Total",,5.0000,
TAC312403,"Mũi khoan bt gài (24x260) Total",,9.0000,
TAC312404,"Mũi khoan bt gài (24x310) Total",,7.0000,
TAC312503C,"Mũi khoan bt gài 4 cạnh (25x260) Total",,9.0000,
TAC312603,"Mũi khoan bt gài (26x260) Total",,8.0000,
TAC391601,"Mũi khoan bt đuôi lục giác (16x280) Total",,10.0000,
TAC391801,"Mũi khoan bt đuôi lục giác (18x280) Total",,10.0000,
TAC392001,"Mũi khoan bt đuôi lục giác (20x280) Total",,9.0000,
TAC392201,"Mũi khoan bt đuôi lục giác (22x280) Total",,10.0000,
TAC430501,"Mũi khoan lỗ (50) Total",,1.0000,
TAC430801,"Mũi khoan lỗ (80) Total",,3.0000,
TAC431001,"Mũi khoan lỗ (100) Total",,2.0000,
TAC451002W,"Đầu khoan (không răng cưa) (10mm) Total",,3.0000,
TAC451302W,"Đầu khoan (không răng cưa) (13mm) Total",,3.0000,
TAC461601,"Mũi gắn vít 60mm Total",,9.0000,
TAC462601,"Mũi gắn vặn vít 60mm Total",,1.0000,
TAC51051,"Bộ 5 lưỡi cưa lọng Total",,2.0000,
TAC51101D,"Lưỡi cưa lọng (cưa gỗ) Total",,12.0000,
TAC51118B,"Lưỡi cưa lọng (cưa kim loại) Total",,14.0000,
TAC51T118B,"Lưỡi cưa lọng (cưa kim loại) Total",,11.0000,
TAC631151,"Nhám xếp Total P40 - 115mm",,4.0000,
TAC631152,"Nhám xếp Total P60 - 115mm",,10.0000,
TAC631153,"Nhám xếp Total P80 - 115mm",,7.0000,
TAC7111152,"Đĩa cao su đánh bóng bằng cao su Total 100mm",,1.0000,
TAC7111801,"Đĩa cao su đánh bóng bằng cao su Total 180mm",,2.0000,
TAC7121152,"Đĩa cao su đánh bóng bằng nhựa PP Total 100mm",,3.0000,
TAC7121801,"Đĩa cao su đánh bóng bằng nhựa PP Total 180mm",,3.0000,
TAC721801,"Nĩ đánh bóng 180 Total",,2.0000,
TAC731251,"Bộ 5 giấy nhám tròn Total",,14.0000,
TAC749241-1,"Giấy chà nhám Total 90X231mm",,71.0000,
TACLI2001,"Máy bơm hơi cầm tay tự động dùng pin Lithium 20V Total (không kèm pin và sạc)",,1.0000,
TACSD30086,"Bộ 8 tua vít Total",,8.0000,
TACSD30136,"Bộ tua vít 13in1 Total",,15.0000,
TACSD30156,"Bộ tua vít 15 đầu Total",,2.0000,
TACSD30326,"Bộ 32 tua vít chuẩn Total",,2.0000,
TACSD3091,"Bộ 9 đầu tua vít Total",,14.0000,
TACSD5051,"Bộ 5 mũi khoan bê tông đuôi trơn Total",,1.0000,
TACSD70131,"Bộ 13 mũi khoan gỗ đầu dẹp Total",,3.0000,
TACSH0131,"Bộ 13 mũi khoét lỗ kim loại Total",,2.0000,
TACSH1121,"Bộ 12 mũi khoét kim loại Total",,2.0000,
TACSH2071,"Bộ 7 mũi khoét lỗ (cacbua) Total",,2.0000,
TACSR0104121,"Bộ 12 mũi phay gỗ 1/4'' (6.3mm) Total",,3.0000,
TACSR0121,"Bộ 12 mũi phay gỗ (6mm) Total",,3.0000,
TACSR1121,"Bộ 12 mũi phay gỗ (8mm) Total",,2.0000,
TACSR2121,"Bộ 12 mũi phay gỗ (12mm) Total",,2.0000,
TAKB0501,"Bộ linh kiện máy mài khuôn TG504062 Total",,1.0000,
TAKTMT1502,"Bộ lưỡi máy cắt gọc đa năng Total",,5.0000,
TAMWH25032,"Ke góc nam châm hàn 3 góc 3 inch Total",,14.0000,
TAMWH50042,"Ke góc nam châm hàn 3 góc 4 inch Total",,21.0000,
TAT10121,"Cần siết 2 chiều khí nén 1/2"" Total",,3.0000,
TAT20751,"Súng châm nhớt Total",,1.0000,
TAT3031-3,"Súng thổi khí Total",,1.0000,
TAT40121,"Dụng cụ vặn buloong dùng khí nén Total",,1.0000,
TAT8131-3,"Súng bắn đinh Total",,1.0000,
TAT8641,"Súng bắn đinh bê tông Total",,2.0000,
TB20062,"Máy thổi nhiệt Total 2000W",,2.0000,
TB2086,"Máy thổi bụi Total 800W TB2086",,1.0000,
TBLI12151,"Pin Lithium-ion 12V Total",,5.0000,
TBLI12152,"Pin Lithium-ion S12 Total",,1.0000,
TBS12001,"Máy chà nhám tăng Total 1200W",,3.0000,
TCSPA061,"Cờ lê vòng miệng (6mm) Total",,4.0000,
TCSPA071,"Cờ lê vòng miệng (7mm) Total",,15.0000,
TCSPA081,"Cờ lê vòng miệng (8mm) Total",,4.0000,
TCSPA091,"Cờ lê vòng miệng (9mm) Total",,17.0000,
TCSPA101,"Cờ lê vòng miệng (10mm) Total",,6.0000,
TCSPA111,"Cờ lê vòng miệng (11mm) Total",,14.0000,
TCSPA121,"Cờ lê vòng miệng (12mm) Total",,8.0000,
TCSPA141,"Cờ lê vòng miệng (14mm) Total",,7.0000,
TCSPA151,"Cờ lê vòng miệng (15mm) Total",,2.0000,
TCSPA161,"Cờ lê vòng miệng (16mm) Total",,2.0000,
TCSPA171,"Cờ lê vòng miệng (17mm) Total",,3.0000,
TCSPA191,"Cờ lê vòng miệng (19mm) Total",,6.0000,
TCSPA211,"Cờ lê vòng miệng (21mm) Total",,6.0000,
TCSPA221,"Cờ lê vòng miệng (22mm) Total",,5.0000,
TCSPA271,"Cờ lê vòng miệng (27mm) Total",,5.0000,
TCSPA301,"Cờ lê vòng miệng (30mm) Total",,1.0000,
TCSPA321,"Cờ lê vòng miệng (32mm) Total",,1.0000,
TCSPAR121,"Cờ lê miệng vòng 2 chiều(12mm) Total",,1.0000,
TCSPAR151,"Cờ lê miệng vòng 2 chiều (15mm) Total",,5.0000,
TCSPAR171,"Cờ lê miệng vòng 2 chiều (17mm) Total",,3.0000,
TCSPAR191,"Cờ lê miệng vòng 2 chiều (19mm) Total",,1.0000,
TD110DSYE,"Máy vặn vít pin Makita TD110DSYE",,1.0000,
TD2051026E,"Máy khoan điện Total 500W",,3.0000,
TD4506E,"Máy khoan điện Total 450W",,2.0000,
TD502106,"Máy khoan điện Total 280W TD502106",,1.0000,
TDLI1222,"Máy khoan dùng pin Lithium-ion 12V Total",,1.0000,
TDLI20024,"Máy khoan dùng pin Lithium 20V Total",,3.0000,
TDOES06071,"Cờ lê 2 miệng (6x7mm) Total",,20.0000,
TDOES08091,"Cờ lê 2 miệng (8x9mm) Total",,5.0000,
TDOES10111,"Cờ lê 2 miệng(10x11mm) Total",,11.0000,
TDOES12131,"Cờ lê 2 miệng (12x13mm)Total",,5.0000,
TDOES14151,"Cờ lê 2 miệng (14x15mm) Total",,3.0000,
TDOES16171,"Cờ lê 2 miệng (16x17mm) Total",,3.0000,
TDOES18191,"Cờ lê 2 miệng (18x19mm) Total",,4.0000,
TET2606,"Mỏ hàn chì Total",,4.0000,
TETHT01,"Máy đo độ ẩm và nhiệt độ kỹ thuật số Total",,3.0000,
TETSL01,"Máy đo độ ồn kỹ thuật số Total",,1.0000,
TFBLI2002,"Pin Lithium-ion 20V/4.Ah Total",,9.0000,
TFCLI2001,"Sạc Lithium 20V Total",,1.0000,
TFMFT01151,"Bộ dao gập/xếp Total",,6.0000,
TG10710036,"Máy mài góc Total 710W",,1.0000,
TG1121006,"Máy mài góc Total 1010W",,1.0000,
TG1121256-3,"Máy mài góc Total 1010W",,2.0000,
TG504062,"Máy mài khuôn Total 400W",,2.0000,
TG5121806,"Dao rọc giấy (kèm 6 lưỡi) Total",,1.0000,
TGCT16001,"Dao cắt kiếng hình compa Total",,5.0000,
TGGLI1201,"Súng bắn keo dùng pin Lithium-Ion ST12 Total (ko bao gồm pin và sạc)",,2.0000,
TGGLI2001,"Máy bắn keo dùng pin Lithium Total (không kèm pin và sạc)",,2.0000,
TGT11236,"Máy xịt rửa Total 1500W",,1.0000,
TGT113026,"Máy xịt rửa 1200W Total",,1.0000,
TGTAN4501,"Vòi phun góc 45 độ 590mm Total",,7.0000,
TGTHB2791,"Bàn chải xịt rửa 270*95mm Total",,5.0000,
TGTHPH526,"Dây xịt rửa áp xuất cao Total",,4.0000,
TGTPB251,"Bàn chải xịt rửa 250mm Total",,3.0000,
TGTSC185,"Dây xích xăng Total",,3.0000,
TGTSG026,"Súng xịt rửa Total TGTSG026",,4.0000,
TGTWB1781,"Cọ làm sạch bánh xe 390mm Total",,2.0000,
THBP01250,"Dao bào dũa cầm tay 250mm Total",,3.0000,
THBP0201,"Balo đựng công cụ Total",,3.0000,
THEB12051,"Thanh mở 1/2 inch 127mm Total",,1.0000,
THEB12101,"Thanh mở 1/2 inch 254mm Total",,4.0000,
THEB14021,"Thanh nối mở tuýp 1/4'' Total",,3.0000,
THEB14041,"Thanh nối mở tuýp 1/4'' Total",,3.0000,
THES23042V,"Ổ cắm điện Total",,2.0000,
THFSW1806,"Cưa tay dạng xếp Total",,4.0000,
THHISD0119L,"Đầu tuýp đen lục giác vuông 1 inch impact 19mm Total",,5.0000,
THHISD0121L,"Đầu tuýp đen lục giác vuông 1 inch impact 21mm Total",,5.0000,
THHISD0122L,"Đầu tuýp đen lục giác vuông 1 inch impact 22mm Total",,5.0000,
THHISD0123L,"Đầu tuýp đen lục giác vuông 1 inch impact 23mm Total",,4.0000,
THHISD0124L,"Đầu tuýp đen lục giác vuông 1 inch impact 24mm Total",,5.0000,
THHISD0127L,"Đầu tuýp đen lục giác vuông 1 inch impact 27mm Total",,5.0000,
THHISD0130L,"Đầu tuýp đen lục giác vuông 1 inch impact 30mm Total",,5.0000,
THHISD0132L,"Đầu tuýp đen lục giác vuông 1 inch impact 32mm Total",,4.0000,
THHISD0133L,"Đầu tuýp đen lục giác vuông 1 inch impact 33mm Total",,4.0000,
THHISD0134L,"Đầu tuýp đen lục giác vuông 1 inch impact 34mm Total",,5.0000,
THHISD0136L,"Đầu tuýp đen lục giác vuông 1 inch impact 36mm Total",,4.0000,
THHISD0138L,"Đầu tuýp đen lục giác vuông 1 inch impact 38mm Total",,5.0000,
THHISD0141L,"Đầu tuýp đen lục giác vuông 1 inch impact 41mm Total",,4.0000,
THHISD0142L,"Đầu tuýp đen lục giác vuông 1 inch impact 42mm Total",,5.0000,
THHISD0146L,"Đầu tuýp đen lục giác vuông 1 inch impact 46mm Total",,5.0000,
THHISD0148L,"Đầu tuýp đen lục giác vuông 1 inch impact 48mm Total",,5.0000,
THHUJ1121,"Đầu nối lắc léo 1/2'' Total",,2.0000,
THHUJ1141,"Đầu nối lắc léo 1/4'' Total",,2.0000,
THHW1531001,"Tay vặn chữ T đầu lục giác 3X100 Total",,3.0000,
THHW1561501,"Tay vặn chữ T đầu lục giác 6X150 Total",,9.0000,
THHW8083,"Bộ 8 chìa lục giác bông tay cầm chữ T Total",,1.0000,
THKISD12102L,"Bộ 10 đầu tuýp Deep Impact DR 1/2 inch Total",,4.0000,
THKTHP10812,"Bộ 81 món bao gồm máy khoan dùng pin 12V Total",,1.0000,
THKTHP90086,"Bộ 8 dụng cụ cầm tay Total",,3.0000,
THKTHP90096,"Bộ 9 dụng cụ cầm tay Total",,5.0000,
THKTHP90256,"Bộ 25 món dụng cụ cầm tay Total",,1.0000,
THKTV02H111,"Bộ 11 công cụ gia dụng Total",,5.0000,
THKTV02H291,"Bộ 29 công cụ gia dụng Total",,1.0000,
THKTV02P051,"Bộ 5 công cụ cầm tay cách điện Total",,2.0000,
THMFH0126,"Búa đa năng Total",,6.0000,
THMFK0156,"Dao cắt đa năng Total",,9.0000,
THMLNS031,"Bộ 3 đầu tuýp lục giác Total",,1.0000,
THPH2001,"Ống nhựa PVC 1/2 inch Total",,3.0000,
THPUT38200,"Dao cạo sơn Total",,7.0000,
THPUT38250,"Dao cạo sơn Total",,2.0000,
THSCRS812001,"Kéo cắt 215mm Total",,5.0000,
THSPP2021,"Bình xịt Total 2L",,29.0000,
THSPS12166,"Đầu tuýp lục giác 1/2 inch 16mm Total",,3.0000,
THSPS12216,"Đầu tuýp lục giác 1/2 inch 21mm Total",,2.0000,
THT1010183,"Mỏ lết 450mm Total",,5.0000,
THT101083,"Mỏ lết (200-8inch) Total",,1.0000,
THT1022122,"Bộ cờ lê vòng miệng(6-32mm) Total",,1.0000,
THT1023121,"Bộ cờ lê hai miệng Total",,4.0000,
THT1024121,"Bộ cờ lê hai vòng Total",,4.0000,
THT102RK061,"Bộ cờ lê miệng vòng 2 chiều Total",,2.0000,
THT106146,"Cần siết 2 đầu 1/4 (158mm) Total",,5.0000,
THT1061826,"Bộ khóa lục giác dạng xếp Total",,9.0000,
THT1061836,"Bộ 8 chìa lục giác Total",,10.0000,
THT106386,"Cần siết 2 chiều 3/8 (205mm) Total",,3.0000,
THT110806P,"Kềm răng 8''/200mm Total",,1.0000,
THT113186,"Kềm cộng lực (18) Total",,1.0000,
THT113246,"Kềm cộng lực (24) Total",,1.0000,
THT113306,"Kềm cộng lực (30) Total",,1.0000,
THT113486,"Kềm cộng lực (48) Total",,3.0000,
THT114041,"Bộ 4 kềm mở phe 7''/180mm Total",,2.0000,
THT115101,"Kềm cắt cáp điện (10) Total",,1.0000,
THT11561,"Kềm cắt cáp điện (6) Total",,8.0000,
THT118062,"Kềm mũi trượt (6) Total",,8.0000,
THT120606P,"Kềm cắt mỏ dài 6''/160mm Total",,2.0000,
THT121251,"Bộ 25 đầu tuýp 1/2"" và cần 2 chiều Total",,3.0000,
THT1321201,"Kẹp gỗ chữ F (120x300) Total",,5.0000,
THT1321202,"Kẹp gỗ chữ F (120x400) Total",,6.0000,
THT1321203,"Kẹp gỗ chữ F (120x500) Total",,1.0000,
THT1321204,"Kẹp gỗ chữ F (120x800) Total",,1.0000,
THT1321401,"Kẹp gỗ chữ F (140x1000) Total",,1.0000,
THT13342,"Kẹp lò xo 4''/110mm Total",,8.0000,
THT13362,"Kẹp lò xo 6''/150mm Total",,9.0000,
THT1340601,"Thanh kẹp nhanh 63x150 mm Total",,6.0000,
THT1340602,"Thanh kẹp nhanh 63x300 mm Total",,4.0000,
THT1340603,"Thanh kẹp nhanh 63x450 mm Total",,10.0000,
THT141253,"Bộ 24 cái đầu tuýp (1/2inch) & cần 2 chiều Total",,1.0000,
THT1527401,"Kéo cắt tỉa (29inch) Total",,3.0000,
THT15308,"Kéo cắt tỉa(8inch) Total",,2.0000,
THT1566P,"Kềm tước dây điện 6""/160mm Total",,5.0000,
THT1591,"Kềm tuốt dây điện 180mm/9'' Total",,2.0000,
THT1621,"Bá lăng xích 2 tấn Total",,1.0000,
THT16241,"Giỏ đựng công cụ Total",,2.0000,
THT1631,"Bá lăng xích 3 tấn Total",,1.0000,
THT16P1011,"Túi đựng công cụ đơn Total",,2.0000,
THT16P2031,"Túi đựng công cụ kèm dây đai Total",,1.0000,
THT16P3011,"Túi đựng đồ nghề 8kg Total",,5.0000,
THT171006,"Mỏ lết răng (10inch)Total",,1.0000,
THT171146,"Mỏ lết răng (14inch) Total",,2.0000,
THT171206,"Mỏ lết răng (12inch) Total",,2.0000,
THT171486,"Mỏ lết răng (48inch) Total",,2.0000,
THT183006,"Lưỡi cạo kim loại Total",,4.0000,
THT20409,"Súng bơm silicol Total",,3.0000,
THT210606,"Kềm răng (6inch) Total",,5.0000,
THT210706,"Kềm răng (7inch) Total",,3.0000,
THT210806,"Kềm răng (8inch) Total",,2.0000,
THT210906S,"Kềm răng cao cấp (9.5inch) Total",,2.0000,
THT21309,"Súng bơm silicol Total",,3.0000,
THT21356,"Tua vít dẹp 5.0X75mm Total",,3.0000,
THT21386,"Tua vít dẹp(38mm) Total",,4.0000,
THT21446,"Tua vít dẹp 4.0X100mm Total",,4.0000,
THT2146,"Tua vít dẹp(100mm) Total",,7.0000,
THT21509,"Súng bơm silicol Total",,3.0000,
THT2156,"Tua vít dẹp 6.0X125mm Total",,8.0000,
THT2166,"Tua vít dẹp(150mm) Total",,5.0000,
THT21786,"Tua vít dẹp 8.0X150mm Total",,6.0000,
THT21886,"Tua vít dẹp 8.0X200mm Total",,1.0000,
THT220606S,"Kềm mũi nhọn mỏ dài cao cấp Total",,5.0000,
THT220806S,"Kềm mũi nhọn mỏ dài cao cấp Total",,3.0000,
THT22316,"Tua vít bake 5.0x75mm Total",,4.0000,
THT22636,"Tua vít bake 8.0x150mm Total",,4.0000,
THT22836,"Tua vít bake 8.0x200mm Total",,5.0000,
THT230706,"Kềm cắt (7inch) Total",,4.0000,
THT2346,"Tua vít lục giác(100mm) Total",,4.0000,
