"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
211285-5,"Bạc đạn cốt nhông GS7020 - 211285-5",,10.0000,
211326-7,"Bạc đạn đầu 3612/3612BR/3612C - 211326-7",,10.0000,
211477-6,"Bạc đan 6201/MT111 - 211477-6",,10.0000,
211487-3,"BẠC ĐẠN 6202DDW/M6201B - 211487-3",,10.0000,
213038-8,"Vòng đệm Makita - 213038-8",,4.0000,
213315-8,"Vòng đệm - 213315-8",,3.0000,
213656-2,"Séc măng - 213656-2",,3.0000,
213960-9,"Vòng phe số 5 9556HN - 213960-9",,5.0000,
213983-7,"Vòng đệm cao su/BO3710 - 213983-7",,40.0000,
216001-0,"Chốt bi MT814 - 216001-0",,3.0000,
216019-1,"Bi thép 3-216019-1",,4.0000,
216038-7,"Bi nhỏ 5mm - 216038-7",,2.0000,
221475-2,"Nhông nhỏ MT966 - 221475-2",,2.0000,
221476-0,"Nhông lớn MT966 - 221476-0",,2.0000,
224314-5,"Mặt bích trong - 224314-5",,10.0000,
224559-5,"Mặt bích ngoài 9553B- 224559-5",,10.0000,
226589-2,"Nhông MT813/MT814/HP1630 - 226589-2",,2.0000,
227471-8,"Nhông nhỏ 9553B/9553NB - 227471-8",,5.0000,
227506-5,"Nhông lớn 9553B/9553NB - 227506-5",,5.0000,
227541-3,"Nhông nhỏ 9556HN/9558HN - 227541-3",,3.0000,
227542-1,"Nhông lớn 9556HN/9558HN - 227542-1",,3.0000,
227545-5,"Nhông nhỏ GA4030/GA4031 - 227545-5",,5.0000,
227546-3,"Nhông lớn GA4030 - 227546-3",,5.0000,
227578-0,"Nhông lớn MT90/MT91A - 227578-0",,3.0000,
227579-8,"Nhông nhỏ MT90/MT91A - 227579-8",,3.0000,
227742-3,"Nhông lớn 35/mt60- 227742-3",,2.0000,
227761-9,"Nhông MT817 - 227761-9",,2.0000,
227764-3,"Nhông lớn MT80A/MT80B - 227764-3",,2.0000,
227767-7,"Nhông lớn 4100NH3/MT413 Makita - 227767-7",,2.0000,
227806-3,"Nhông lớn 37/Hp1630 (227806-3)",,3.0000,
231965-7,"Lò xo TD0101 Makita - 231965-7",,2.0000,
233005-7,"Lò xo nén 41 - 233005-7",,2.0000,
233376-2,"Lò xo 9553B- 233376-2",,5.0000,
234057-1,"Lò xo GA4030 - 234057-1",,2.0000,
254011-9,"Chốt lavet 9553B-254011-9",,5.0000,
256251-5,"Chốt lò xo MT814 - 256251-5",,3.0000,
256486-8,"Chốt gài 9553B- 256486-8",,5.0000,
256510-7,"Chốt ngang GA4030 - 256510-7",,2.0000,
2600100187,"Vòng đệm lưỡi cưa gỗ 100mm (2608644190)",,40.0000,
2607017164,"Mũi vít BOSCH bộ 43 chi tiết",,2.0000,
2607017322,"Bộ vặn vít 26 món Bosch 2607017322",,19.0000,
2607019510,"Bộ mũi vặn vít cầm tay 10 món Bosch 2607019510",,10.0000,
2608521042,"Mũi vặn vít ngắn BOSCH (PH2-65mm, chỉ 1 mũi)",,68.0000,
2608521043,"Mũi vặn vít dài BOSCH PH2-110mm (chỉ 1 mũi)",,53.0000,
2608522413,"Bộ vặn vít extrahard 25mm đầu PH,PZ Bosch 2608522413",,5.0000,
2608522414,"Bộ vặn vít extrahard 25mm đầu SL,Hex Bosch 2608522414",,5.0000,
2608522415,"Bộ vặn vít extrahard 25mm đầu Torx Bosch 2608522415",,5.0000,
2608522416,"Bộ vặn vít extrahard 25mm đầu Torx Bosch 2608522416",,5.0000,
2608522417,"Bộ vặn vít extrahard 65mm (8món) Bosch 2608522417",,5.0000,
2608571078,"Đầu khoan có khóa 10mm",,5.0000,
2608571079,"Đầu khoan có khóa 13mm Bosch 2608571079",,5.0000,
2608572253,"Đầu khoan có khóa 13mm cho khoan búa 2kg",,1.0000,
2608577349,"Mũi khoan HSS PointTeQ BOSCH 13 mũi 1.5-6.5",,4.0000,
2608578007,"Mũi khoan SDS Max-2 16x340mm",,1.0000,
2608578010,"Mũi khoan SDS Max-2 18x340mm",,1.0000,
2608578013,"Mũi khoan SDS Max-2 18x540mm",,1.0000,
2608578014,"Mũi khoan SDS Max-2 20x340mm",,1.0000,
2608578018,"Mũi khoan SDS Max-2 22x340mm",,1.0000,
2608578021,"Mũi khoan SDS Max-2 22x540mm",,1.0000,
2608578116,"Mũi khoan tường Concrete 5x50x85",,11.0000,
2608578118,"Mũi khoan tường Concrete 6x60x100",,5.0000,
2608578120,"Mũi khoan tường Concrete 8x80x120",,10.0000,
2608578121,"Mũi khoan tường Concrete 10x80x120",,4.0000,
2608578122,"Mũi khoan tường Concrete 12x90x150",,2.0000,
2608585874,"Mũi khoan INOX HSS-Co 2mm (hộp 10 mũi)",,1.0000,
2608585876,"Mũi khoan INOX HSS-Co 3mm (hộp 10 mũi)",,1.0000,
2608585879,"Mũi khoan INOX HSS-Co 3.5mm (hộp 10 mũi)",,5.0000,
2608585880,"Mũi khoan INOX HSS-Co 4mm (hộp 10 mũi)",,2.0000,
2608585883,"Mũi khoan INOX HSS-Co 4.5mm (hộp 10 mũi)",,1.0000,
2608585885,"Mũi khoan INOX HSS-Co 5mm (hộp 10 mũi)",,2.0000,
2608585889,"Mũi khoan INOX HSS-Co 6mm (hộp 10 mũi)",,2.0000,
2608585892,"Mũi khoan INOX HSS-Co 7mm (hộp 10 mũi)",,2.0000,
2608585894,"Mũi khoan INOX HSS-Co 8mm (hộp 5 mũi)",,2.0000,
2608585898,"Mũi khoan INOX HSS-Co 10mm (hộp 5 mũi)",,2.0000,
2608595051,"Mũi khoan sắt HSS-G 2mm (hộp 10 mũi)",,1.0000,
2608595055,"Mũi khoan sắt HSS-G 3mm (hộp 10 mũi)",,2.0000,
2608595061,"Mũi khoan sắt HSS-G 4.5mm (hộp 10 mũi)",,1.0000,
2608595062,"Mũi khoan sắt HSS-G 5mm (hộp 10 mũi)",,2.0000,
2608595066,"Mũi khoan sắt HSS-G 6mm (hộp 10 mũi)",,1.0000,
2608595068,"Mũi khoan sắt HSS-G 6.5mm (hộp 10 mũi)",,2.0000,
2608595070,"Mũi khoan sắt HSS-G 7mm (hộp 10 mũi)",,2.0000,
2608595072,"Mũi khoan sắt HSS-G 8.0mm (hộp 5 mũi)",,1.0000,
2608595073,"Mũi khoan sắt HSS-G 8.5mm (hộp 5 mũi)",,1.0000,
